xpos,ypos,xvel,yvel
-21.913,-0.19837,-36.2,10.358
-14.518,-0.9247,47.15,-0.75893
-9.4632,-1.9804,16.523,-3.5292
-9.6861,-3.7223,-21.025,-27.573
0.37512,-7.7846,96.389,-35.95
3.0895,-9.0115,38.015,-23.659
-1.2145,-9.9962,-8.2554,-12.201
-7.3112,-9.8824,-26.248,2.2533
-15.835,-6.1136,-18.743,16.068
-16.934,2.4489,-11.496,63.681
-14.113,5.958,-2.6961,12.281
-18.427,5.3536,-39.248,-30.597
-29.629,5.8107,-81.16,40.724
-23.639,7.7549,-10.769,69.296
-19.092,13.685,-25.714,88.321
-55.443,34.887,-399.58,256.57
-99.648,63.055,-355.68,248.49
-108.92,58.14,-112.23,16.436
-94.08,44.772,56.28,-99.209
-20.396,11.247,28.594,-18.984
-11.842,7.1024,-6.4518,-26.904
-9.6061,1.9002,2.2841,-57.354
-2.6777,-1.6788,52.713,-36.867
-4.4054,-3.9402,12.814,-1.4916
-4.5869,-1.9213,-2.3136,21.874
-4.1593,5.7087,17.472,48.502
-10.534,7.4071,-28.101,15.193
-15.549,0.50661,-45.904,-57.695
-13.506,-8.8012,11.799,-45.404
-15.248,-10.504,17.62,2.6498
-9.3416,-13.905,34.826,-34.857
-4.7626,-20.511,-14.001,-43.088
-8.9323,-19.319,-23.844,7.6213
-7.7912,-9.4844,12.523,24.704
-26.168,-11.079,-128.78,-69.026
-56.056,-31.104,-220.38,-204.38
-59.796,-62.496,-45.261,-243.42
-58.523,-79.667,-45.218,-109.04
-8.4787,-17.273,0.56447,25.568
-5.5206,-2.6674,-40.302,29.995
-13.743,-2.0933,-56.831,-38.683
-11.271,-2.392,29.495,-16.781
-9.0669,-3.1929,9.497,-6.2231
-1.4124,-6.9741,52.8,-27.82
2.0657,-4.0277,30.49,31.225
0.41043,4.5643,4.0531,61.971
-6.8433,12.468,-47.424,52.323
-6.6358,16.748,18.307,54.935
-15.152,20.348,12.965,77.139
-13.518,15.47,1.6617,-7.2708
-13.509,3.8947,-8.4794,-28.708
-10.148,-1.2227,18.969,-2.8732
-13.368,-2.2472,-6.5362,-8.5147
-43.654,-3.0355,-283.36,28.892
-90.891,12.043,-438.72,120.03
-110.66,15.384,-130.37,27.537
-92.323,12.247,123.08,8.6146
-15.354,-1.0209,26.786,-3.3199
-10.152,-0.10078,-19.229,22.421
-11.458,0.25508,1.4376,15.373
-10.599,4.3181,18.646,13.706
-11.481,6.544,-0.065278,29.947
-7.7634,7.9833,4.7065,26.158
-3.5675,4.1401,19.196,-16.765
-5.9103,1.2643,-46.431,-22.709
-10.632,-4.6752,-58.1,-7.6461
-10.561,-12.638,2.5746,-31.64
-10.523,-14.512,-5.4797,-4.5176
-8.9178,-14.052,9.9263,35.53
0.86012,-13.935,54.121,2.2061
2.7476,-9.1592,35.025,7.42
-1.8415,-2.7314,-8.6371,29.394
-3.6194,0.19383,24.064,30.528
-5.6219,-5.5994,-28.114,-52.03
-24.172,-11.493,-130.95,10.731
-52.415,-2.1039,-305.96,85.741
-92.077,2.7445,-377.42,11.88
-110.36,-4.0129,-138.6,-46.542
-98.316,-8.939,21.935,-2.8329
-17.513,-1.6689,19.832,-0.6352
-12.272,-2.6015,-24.457,-32.934
-9.8265,-2.4021,8.5535,-0.70662
-8.5263,-3.4365,29.052,-0.28395
-6.3689,-3.8304,18.528,-27.92
-8.8584,-7.0864,-40.935,-53.048
-6.9447,-10.163,13.106,-11.777
-6.7435,-6.3603,23.099,31.11
-9.315,-3.3337,14.208,12.765
-8.6869,-4.1472,21.336,-22.766
-8.559,-4.4281,15.159,-37.045
-8.8448,-3.8203,5.307,-9.9309
-8.4343,-8.3404,-2.581,-31.108
-9.1186,-11.049,13.405,-6.96
-5.7533,-8.4727,22.33,23.945
-5.298,-1.6829,31.051,20.802
-4.1034,-0.76772,-6.3829,-4.209
-5.2688,4.3587,3.2788,58.109
-1.8957,5.4856,48.17,62.279
-4.3124,8.5986,4.6,55.04
1.2475,30.888,98.626,243.04
47.468,80.926,488.24,507.94
80.851,102.21,324.85,194.19
89.731,82.77,76.707,-112.79
11.613,8.5315,-12.93,-55.406
3.9733,-5.0855,38.464,-56.097
-1.5749,-9.0499,-4.2332,-54.992
1.0553,-14.219,30.105,-55.463
0.87311,-14.396,1.4882,-37.144
-6.0004,-11.866,-21.189,20.836
-8.7244,-3.0623,-11.319,54.325
-8.5505,3.2323,7.0515,36.38
-10.793,5.3709,-48.605,33.392
-17.652,4.5744,-55.579,36.569
-13.828,2.9597,31.349,-7.7906
-11.279,-1.5757,28.546,-6.3912
-5.6681,-1.6695,67.556,7.8454
-2.4273,-0.81498,30.152,28.628
-8.0921,4.2937,-24.69,19.574
-12.51,-3.6766,-31.39,-65.328
-3.1335,-14.992,68.971,-60.109
2.7337,-18.269,50.679,1.0724
8.6365,-8.1956,73.269,76.897
14.406,11.564,90.998,156.53
36.656,52.433,326.18,398.71
68.341,78.8,361.5,217.66
82.273,64.161,155.54,-68.868
76.725,35.251,42.856,-159.22
5.788,4.3621,20.775,-61.767
-4.5652,-3.8572,1.8268,-78.494
-8.2387,-9.1755,-31.613,-44.896
